PartID,PartDescription,PartBinAddress,PartBarCode,Product Class,Current Stock,On Order,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26
Em-2002,"Camira JB,JD,JE Front LH mount",3-B-9-1,9346140001981,04 Bronze,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
Em-2005,"Comm. V6 VR-VX, V8 95-on Rear",3-B-9-5,9346140001998,03 Silver,129,0,7,9,13,5,5,2,2,4,2,3,3,1,3,9,5,3,1,6,3,13,6,4,7,3,2,5,7,8,4,5,4,6,6,7,6,4
Em-2006H,Comm. VN-VT V6 Frnt Hydro L/R,9-A-1-2,9346140002001,01 Platinum,304,0,64,46,58,49,41,41,18,19,23,60,35,35,33,46,34,38,28,33,31,36,46,45,19,32,30,50,40,31,31,22,14,20,17,23,19,15
Em-2007,"Coaster BB50,HZB50 4.2 Rear M",37A-2-1,9346140039243,07 Not Classed,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em-2008,"Land HDJ/VDJ78,79 4.5L Rear M",3-B-5-1,9346140040560,04 Bronze,10,0,3,3,3,0,2,2,2,1,1,0,1,2,1,2,2,0,0,0,1,1,0,1,1,2,2,0,0,1,0,3,2,2,3,4,1,5
Em-2009,Landcruiser FJ45 Front mount,37B-1-4,9346140002018,07 Not Classed,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em-2010H,"Cit DS3,Peug 207,208,2008 RH H",3-B-6-1,9346140039519,04 Bronze,21,20,0,1,0,2,1,1,2,0,1,0,1,0,1,3,2,1,2,1,3,1,1,1,1,4,1,0,1,2,4,0,3,0,1,0,4,2
Em-2011,"Merc A,B,CLA,GLA 12-on Rear Lo",3-B-6-2,9346140041451,04 Bronze,71,50,0,0,1,4,0,-2,2,1,-1,0,3,1,2,1,6,-1,2,4,1,1,0,2,1,3,4,0,5,2,5,1,5,1,1,3,2,6
Em-2016,Maz3 BK 1.6L 03-08 RH mnt,3-B-10-1,9346140029800,07 Not Classed,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em-2030,"Pulsar N13,Astra LD LH m  All",3-C-1-1,9346140002032,04 Bronze,28,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,1,0,0,0,1,0,0,1,1,2,-1,0
Em-2067L,"Lan CJ,Outl ZG-ZH Rear LH Diff",3-C-2-2,9346140039137,04 Bronze,18,30,1,0,1,0,0,1,2,1,0,3,0,0,1,0,2,0,0,0,0,2,2,0,1,0,1,1,0,3,1,2,0,2,2,2,0,-1
Em-2067R,"Lan CJ,Outl ZG-ZH Rear RH Diff",3-C-3-2,9346140039144,04 Bronze,21,30,1,0,1,0,0,2,2,1,0,3,0,0,0,0,2,0,0,0,0,2,2,0,1,0,1,0,0,3,1,2,0,2,2,2,0,-1
Em-2149,Telstar AR-AS/626 RH E/B stop,3-C-1-4,9346140002056,04 Bronze,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em-2169,Telstar AR-AS/626 RH mount,3-C-1-4,9346140002063,05 No Sales FY25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em-2170H,"118i,218i,X2,Cooper F54-57 RH",3-C-2-5,9346140040911,02 Gold,169,0,8,6,6,6,12,11,15,10,20,14,14,21,21,29,13,13,9,13,22,31,27,23,15,19,21,26,16,19,11,8,15,19,15,21,23,38
Em-2180,Telstar AR-AS/626 RH mount,3-C-3-3,9346140002070,05 No Sales FY25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Em-2184,Mazda E1800-E2200 Rear mount,3-C-1-3,9346140002087,04 Bronze,28,0,5,1,-1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0
Em-21840,"Excel,SCoupe,Galant Front mnt",3-C-2-4,9346140002094,04 Bronze,60,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,1,0,0
Em-2185,Lexus UZZ40 4.3L 3UZFE Rear A,3-C-2-3,9346140038499,05 No Sales FY25,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em-21850G,Excel Rear mount,3-C-1-5,9346140002124,04 Bronze,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Em-2208,"Pulsar N13,Astra LD RH mount",3-C-2-1,9346140002131,04 Bronze,174,0,1,1,0,0,1,0,0,1,1,2,1,1,0,1,3,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,2,1,2,2,0
Em-2209,"Pulsar N13,Astra LD Frnt s/bar",3-C-3-4,9346140002148,04 Bronze,3,0,2,1,0,0,-1,-1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,2,1,1,0,1,3,1,0,0
Em-2210,"Pulsar N13,Astra LD Rear mount",3-C-1-2,9346140002155,04 Bronze,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Em-2211,"Pulsar N13,Astra LD Rear E/S/b",3-C-3-4,9346140002162,04 Bronze,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
Em-2257,"Mazda 626,929 RWD Front mount",3-C-4-2,9346140002193,04 Bronze,35,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em-2258,"Mazda 121,626,929 Rear mount",3-C-4-2,9346140002209,04 Bronze,44,0,2,3,0,1,1,0,2,0,0,0,0,1,1,1,0,1,0,0,0,1,0,2,3,0,1,0,0,1,0,0,1,0,0,0,0,0
Em-2284,"X-tra T31,Koleos 2.5L 07-16 RH",3-C-6-3,9346140039588,04 Bronze,82,50,1,5,4,3,2,0,1,1,0,4,5,2,1,6,1,4,3,2,1,1,3,2,3,3,3,6,4,7,4,4,3,7,3,5,7,3
Em-2285,Hol Trax TJ 1.4L 14-on LH Auto,3-C-6-1,9346140039595,04 Bronze,7,20,0,0,-1,1,1,1,1,1,-1,0,0,2,1,1,-1,0,0,0,0,1,0,0,1,-1,0,0,-1,1,0,1,0,0,-1,0,1,0
Em-2286,Hold Trax TJ 1.4L 14-20 LH A,3-C-7-1,9346140042335,06 First Sale in FY26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Em-2288,Landcruiser FJ45 Front mount,3-C-6-2,9346140002230,05 No Sales FY25,17,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em-2305,"Celica TA,RA Front mount",3-C-6-2,9346140002278,04 Bronze,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0
Em-2306,Corona RT100 Front mount,3-C-8-2,9346140002285,05 No Sales FY25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Em-2307,Corolla KE30 Rear mount,3-C-8-2,9346140002292,04 Bronze,34,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Em-2308,"Celica,Cressida  Rear mount",3-C-4-4,9346140002308,04 Bronze,4,30,0,0,0,0,1,0,0,12,3,11,0,0,0,1,1,0,2,1,0,0,1,2,1,0,3,3,0,1,4,1,0,0,4,6,5,3
Em-2309,"Corona, Hilux Rear mount",3-C-5-4,9346140002315,04 Bronze,55,0,-1,2,0,1,1,2,1,2,0,0,0,5,0,0,2,-1,2,10,0,2,1,0,2,1,3,1,1,5,1,3,5,2,4,2,5,3
Em-2311H,Cooper R55-R61 1.6L RH Hydro,3-C-4-3,9346140039526,04 Bronze,44,0,0,2,1,1,1,1,0,1,0,0,0,1,0,2,1,-1,1,0,0,2,1,1,2,0,2,1,0,1,4,0,1,-1,1,0,0,2
Em-2312H,Cooper R55-R61 1.6L LH Hydro A,3-C-5-3,9346140043356,04 Bronze,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,0,0,1,3,1,0,0,0,1,0,0
Em-2313D,"Hiace KCH,RCH,RZH Front Diff",3-C-5-1,9346140045527,06 First Sale in FY26,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Em-2347,Galant Rear mount,3-C-8-1,9346140002339,04 Bronze,6,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,4,0,0,0,0,0,0,1,3,0,0
Em-2349,"Lex IS250/350,GS300/430 Rear",3-C-10-2,9346140028773,04 Bronze,12,50,1,2,1,1,1,1,0,1,0,0,1,0,2,0,4,3,2,1,1,0,1,0,2,2,0,2,3,3,1,2,0,1,3,0,1,3
Em-2350,"IS250/350, GS300 05-on Front A",3-C-9-1,9346140028780,04 Bronze,29,40,1,3,4,1,0,2,2,3,4,2,2,0,3,0,7,2,2,0,0,0,4,2,3,4,0,0,5,3,0,1,1,1,7,0,3,6
Em-2440,Charade G11 Rear mount,3-C-6-6,9346140002353,04 Bronze,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Em-2441,Charade G11 Front mount,3-C-5-4,9346140002360,07 Not Classed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em-2481LS,"Audi A4,A5,A6,A7,Q7 LH Hy/Sens",3-C-3-5,9346140043325,04 Bronze,28,20,0,0,1,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,-1,0,1,1,0,1,2,0,-2,0
Em-2482RS,"Audi A4,A5,A6,A7,Q7 RH Hy/Sens",3-C-4-5,9346140043332,04 Bronze,24,20,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,0,1,1,0,1,3,0,-2,0
Em-2483,"Corolla KE30,55,70 Front LH mt",3-C-10-3,9346140002384,04 Bronze,27,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,2,2,1,0,1,0,1,0,1,3,1,1,0,1,0,1,1
Em-2484,Corolla KE70 Front RH,3-C-10-4,9346140002391,04 Bronze,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,1,1,0,0,1,0
Em-2485H,SX4 RW420 2.0L 10-on RH Hydro,3-C-5-5,9346140029749,04 Bronze,18,50,1,1,0,0,0,0,1,2,1,2,0,1,0,1,0,1,0,0,0,0,2,0,1,0,2,0,4,2,2,0,2,0,3,3,2,0
